DATE,NYRQGSP
2005-01-01,1168891.050000000000
2006-01-01,1199276.900000000000
2007-01-01,1208564.650000000000
2008-01-01,1190080.850000000000
2009-01-01,1230672.300000000000
2010-01-01,1277466.775000000000
2011-01-01,1279527.100000000000
2012-01-01,1328233.500000000000
2013-01-01,1329376.300000000000
2014-01-01,1353410.400000000000
2015-01-01,1373642.975000000000
2016-01-01,1403230.525000000000
2017-01-01,1419112.075000000000
2018-01-01,1458382.425000000000
2019-01-01,1500833.400000000000
2020-01-01,1432507.000000000000
2021-01-01,1514779.250000000000
2022-01-01,1563043.750000000000
2023-01-01,.
